📺央视频道,#genre#
cctv1,http://113.226.232.243:777/hls/1/index.m3u8
cctv2,http://113.226.232.243:777/hls/2/index.m3u8
cctv3,http://113.226.232.243:777/hls/3/index.m3u8
cctv4,http://113.226.232.243:777/hls/4/index.m3u8
cctv5,http://113.226.232.243:777/hls/5/index.m3u8
cctv5+,http://113.226.232.243:777/hls/18/index.m3u8
cctv6，http://113.226.232.243:777/hls/6/index.m3u8
cctv7，http://113.226.232.243:777/hls/7/index.m3u8
cctv8,http://113.226.232.243:777/hls/8/index.m3u8
cctv9,http://113.226.232.243:777/hls/9/index.m3u8
cctv10,http://113.226.232.243:777/hls/10/index.m3u8
cctv11,http://113.226.232.243:777/hls/11/index.m3u8
cctv12,http://113.226.232.243:777/hls/12/index.m3u8
cctv13,http://113.226.232.243:777/hls/13/index.m3u8
cctv14,http://113.226.232.243:777/hls/14/index.m3u8
Cctv15,http://113.226.232.243:777/hls/15/index.m3u8
cctv16,http://113.226.232.243:777/hls/16/index.m3u8
cctv17,http://113.226.232.243:777/hls/17/index.m3u8
cgtn,
